time,gnss_pos_e,gnss_pos_n,gnss_pos_u,gnss_vel_e,gnss_vel_n,gnss_vel_u,truth_pos_e,truth_pos_n,truth_pos_u,truth_vel_e,truth_vel_n,truth_vel_u
0.0,0.043859615099198467,-1.7800941261664815,28.972595710906564,9.801318720218053,0.23487087473983725,0.07113844218614006,0.0,0.0,30.0,10.0,0.0,0.0
1.0,10.615019655314576,0.13155175249098566,28.778154751392663,10.469193399881473,0.2794129656219568,-0.35347896278605095,10.166666666666666,0.0,30.0,10.333333333333334,0.0,0.0
2.0,21.982338784182538,0.055494587232337404,30.572126190823198,10.335276473818697,0.10588365766599941,-0.48942903329960297,20.666666666666668,0.0,30.0,10.666666666666666,0.0,0.0
3.0,33.644962570429485,0.4731515325578951,29.379108776025397,10.966786245281376,0.03648928898229364,-0.07897974211959222,31.5,0.0,30.0,11.0,0.0,0.0
4.0,40.01436222972969,-1.797941187356245,27.986623972509086,11.569986658245622,0.038695269823027484,0.48613793293597624,42.666666666666664,0.0,30.0,11.333333333333334,0.0,0.0
5.0,51.82244104022579,-0.1149927277254599,26.52499965782726,11.439000487561572,0.15073423010803835,0.14077562391869092,54.166666666666664,0.0,30.0,11.666666666666666,0.0,0.0
6.0,65.73331345600438,-0.06282615408237044,30.346023896917902,11.964990260518714,0.0955646964848324,-0.007996478178438798,66.0,0.0,30.0,12.0,0.0,0.0
7.0,78.95665148411486,0.4900916165928306,30.904147245733242,12.051379082122573,0.038352035146588206,0.3406988200321099,78.16666666666667,0.0,30.0,12.333333333333332,0.0,0.0
8.0,89.39068427760482,-0.8860339268406772,34.417651139025,12.998146836226972,-0.19259527318037042,0.018635522557463965,90.66666666666667,0.0,30.0,12.666666666666666,0.0,0.0
9.0,104.86267799169947,1.5422261972518472,27.63114817114818,13.288940077827583,-0.2452223796058126,0.03080924736184852,103.5,0.0,30.0,13.0,0.0,0.0
10.0,118.44002581812336,-2.8500707057631227,27.394762604782645,13.154983552678212,0.20033597367901593,0.05340607201582939,116.66666666666666,0.0,30.0,13.333333333333332,0.0,0.0
11.0,131.3976344397658,2.341234591947284,28.143913401327918,13.51142242920916,-0.08622354040796329,0.21548439471973266,130.16666666666666,0.0,30.0,13.666666666666666,0.0,0.0
12.0,142.2117114989054,-0.8269170356059918,26.227249058708964,13.961988489204243,-0.17692091625536968,0.13630497811728068,144.0,0.0,30.0,14.0,0.0,0.0
13.0,158.44959914197764,0.7921183365285982,28.9009553449414,14.389613867935303,-0.010286329986196231,-0.07824464460493824,158.16666666666666,0.0,30.0,14.333333333333332,0.0,0.0
14.0,169.16060810867398,-1.1600942231993263,31.97832795708871,14.724991920056794,0.15647041112210017,-0.17157631543925153,172.66666666666666,0.0,30.0,14.666666666666666,0.0,0.0
15.0,188.68102898288305,-0.08602583322589534,29.819652643520428,14.858156309008153,0.06401958659338991,-0.014538945617255581,187.5,0.0,30.0,15.0,0.0,0.0
16.0,202.13139380606765,1.248130177466292,31.112786376666733,15.331600151364382,-0.1483111431402335,0.1263794794341459,202.66666666666666,0.0,30.0,15.333333333333332,0.0,0.0
17.0,216.08962935480992,-0.4326081956902904,29.298614971670442,15.494504448771727,0.2234866981864801,0.2494436288296539,218.16666666666666,0.0,30.0,15.666666666666666,0.0,0.0
18.0,235.69289454077727,1.620801932099472,28.78803397907815,16.28383245868489,0.41422564850558335,-0.08321131454275188,234.0,0.0,30.0,16.0,0.0,0.0
19.0,250.93469789969072,0.9923128960210786,29.843061741468212,16.586182576071366,-0.1231531090082628,-0.2819649033673339,250.16666666666666,0.0,30.0,16.333333333333332,0.0,0.0
20.0,266.7214224410455,2.022082594995344,29.22827998383513,16.43143542608509,-0.16326464599723048,-0.32416841700728877,266.66666666666663,0.0,30.0,16.666666666666664,0.0,0.0
21.0,285.31531500237156,1.633941004865583,30.354617355104626,17.403179564854057,-0.042359074550819525,0.2456894312763688,283.5,0.0,30.0,17.0,0.0,0.0
